text,label
Warfarin 30mg daily for chronic urinary tract infection — far above guidelines.,overdose
Atorvastatin 120mg daily for chronic chronic pain — far above guidelines.,overdose
Amlodipine 5mg three times daily prescribed. No known allergies reported.,safe
Digoxin and Amiodarone prescribed together — potential serious interaction.,drug_interaction
Administer Sertraline 400mg every 4 hours for atrial fibrillation.,overdose
Administer Paracetamol 5000mg as loading dose without tapering.,overdose
Codeine 30mg and Sertraline 50mg co-administered. Check interaction.,drug_interaction
Amlodipine 50mg daily for chronic urinary tract infection — far above guidelines.,overdose
Ibuprofen 400mg and Warfarin 5mg co-administered. Check interaction.,drug_interaction
Codeine 300mg daily for chronic epilepsy — far above guidelines.,overdose
Omeprazole 120mg daily for chronic atrial fibrillation — far above guidelines.,overdose
Administer Aspirin 75mg orally as needed. Indication: migraine.,safe
Ibuprofen 400mg every 8 hours along with Warfarin 5mg daily.,drug_interaction
Metformin and Alcohol prescribed together — potential serious interaction.,drug_interaction
Patient to take Gabapentin 300mg as needed with plenty of water.,safe
Patient prescribed Digoxin 1.5mg every 12 hours for migraine.,overdose
Start Amoxicillin 500mg every 12 hours for urinary tract infection. Monitor after 2 weeks.,safe
Start Amoxicillin 500mg twice daily for migraine. Monitor after 2 weeks.,safe
Codeine 300mg every 6 hours; maximum recommended is 30mg per day.,overdose
Patient prescribed Aspirin 1500mg once daily for hypothyroidism.,overdose
Paracetamol 500mg once daily at bedtime for atrial fibrillation.,safe
Administer Amlodipine 5mg orally as needed. Indication: bacterial infection.,safe
Patient prescribed Metformin 3500mg every 8 hours for anxiety disorder.,overdose
Take Sertraline 400mg every 8 hours — dose is critically high for anxiety disorder.,overdose
Levothyroxine 50mcg three times daily prescribed. No known allergies reported.,safe
Prescription calls for Warfarin 30mg every 2 hours — unsafe.,overdose
Take Amoxicillin 500mg with food every 12 hours for bacterial infection.,safe
Add Sertraline 50mg to existing regimen of Codeine 30mg.,drug_interaction
Prescription: Atorvastatin 20mg twice daily for mild hypothyroidism.,safe
Patient on long-term Amlodipine; prescribe Simvastatin for acute high cholesterol.,drug_interaction
Prescribed Warfarin 30mg orally. Standard max is 5mg.,overdose
Sertraline 400mg daily for chronic heart failure — far above guidelines.,overdose
Digoxin 0.125mg every 12 hours for 7 days. Refill x1 for high cholesterol.,safe
Omeprazole 120mg three times daily. Exceeds maximum safe dosage.,overdose
Sertraline 50mg once daily as needed for high cholesterol. Max 50mg per dose.,safe
Prescription calls for Atorvastatin 120mg every 2 hours — unsafe.,overdose
Patient taking Atorvastatin 20mg and Clarithromycin 250mg simultaneously.,drug_interaction
Sertraline 400mg every 6 hours; maximum recommended is 50mg per day.,overdose
Patient prescribed Atorvastatin 120mg as needed for anxiety disorder.,overdose
Add Clarithromycin 250mg to existing regimen of Atorvastatin 20mg.,drug_interaction
Patient on long-term Lisinopril; prescribe Spironolactone for acute depression.,drug_interaction
Amlodipine 50mg every 6 hours; maximum recommended is 5mg per day.,overdose
Add Ibuprofen 400mg to existing regimen of Aspirin 75mg.,drug_interaction
Take Amlodipine 50mg twice daily — dose is critically high for migraine.,overdose
Administer Warfarin 30mg every 4 hours for migraine.,overdose
Co-prescribe Warfarin with Aspirin for anxiety disorder.,drug_interaction
Administer Ibuprofen 2400mg every 4 hours for chronic pain.,overdose
Combination therapy: Amoxicillin 500mg + Warfarin 5mg for type 2 diabetes.,drug_interaction
Take Amoxicillin 3000mg every 8 hours — dose is critically high for osteoarthritis.,overdose
Take Amoxicillin 3000mg once daily — dose is critically high for anxiety disorder.,overdose
Digoxin 0.125mg every 12 hours along with Amiodarone 200mg daily.,drug_interaction
Sertraline and Tramadol prescribed together — potential serious interaction.,drug_interaction
Patient prescribed Ibuprofen 400mg every 8 hours for depression.,safe
Prescription: Metformin 500mg twice daily for mild depression.,safe
Co-prescribe Levothyroxine with Calcium for migraine.,drug_interaction
Digoxin and Amiodarone prescribed together — potential serious interaction.,drug_interaction
Patient on long-term Atorvastatin; prescribe Clarithromycin for acute high cholesterol.,drug_interaction
Atorvastatin 20mg once daily at bedtime for chronic pain.,safe
Warfarin 30mg every 6 hours; maximum recommended is 5mg per day.,overdose
Patient prescribed Lisinopril 10mg as needed for depression.,safe
Atorvastatin 20mg once daily at bedtime for acid reflux.,safe
Start Amlodipine 5mg once daily for anxiety disorder. Monitor after 2 weeks.,safe
Administer Warfarin 5mg orally every 8 hours. Indication: hypertension.,safe
Patient prescribed Lisinopril 10mg every 12 hours for chronic pain.,safe
Amoxicillin 500mg twice daily as needed for hypothyroidism. Max 500mg per dose.,safe
Digoxin 0.125mg twice daily prescribed. No known allergies reported.,safe
Combination therapy: Metformin 500mg + Contrast Dye IV dose for type 2 diabetes.,drug_interaction
Co-prescribe Warfarin with Omeprazole for migraine.,drug_interaction
Patient on Lisinopril; new prescription for Spironolactone for depression.,drug_interaction
Patient on Amlodipine; new prescription for Simvastatin for osteoarthritis.,drug_interaction
Prescribed Amlodipine 50mg orally. Standard max is 5mg.,overdose
Prescribed Sertraline 400mg orally. Standard max is 50mg.,overdose
Co-prescribe Metformin with Alcohol for migraine.,drug_interaction
Patient on Metformin; new prescription for Alcohol for chronic pain.,drug_interaction
Digoxin 0.125mg three times daily prescribed. No known allergies reported.,safe
Patient on Ibuprofen; new prescription for Warfarin for osteoarthritis.,drug_interaction
Amoxicillin 3000mg three times daily. Exceeds maximum safe dosage.,overdose
Patient to take Gabapentin 300mg as needed with plenty of water.,safe
Metformin and Contrast Dye prescribed together — potential serious interaction.,drug_interaction
Amoxicillin 3000mg every 6 hours; maximum recommended is 500mg per day.,overdose
Prescription: Omeprazole 20mg every 8 hours for mild depression.,safe
